parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
a1[1],-12.639132006001779,4.210556705866658e-8,1.3314949407834285e-8,10.0,10.0,1.0093020146064406,0.13070870258541814
a1[2],-9.731967731172116,6.565170405566978e-8,2.300338937397271e-8,7.337242375723676,10.0,1.7894277714570717,0.09590414314855927
a1[3],-6.098570670899642,7.058614414677777e-8,3.436957508663101e-8,4.190447053236804,10.0,1.7894277714570717,0.054772789758147124
a1[4],-6.456572764182313,2.6473734309116337e-8,9.706873109681633e-9,8.62799835588394,10.0,2.081996174744455,0.11277544710067107
a1[5],10.980428487150553,6.625990831922406e-8,2.5397005649776524e-8,7.25044015654842,10.0,0.9731344291072495,0.09476956260356599
a1[6],-0.6407881266264455,3.639954542676943e-8,1.2468905492520283e-8,9.613234785969496,10.0,1.1071227100893337,0.12565334465230826
a1[7],8.127595368265771,4.980383765641814e-8,2.2652585266489573e-8,5.5121730924265755,10.0,1.3012682314241317,0.07204889933373299
a1[8],0.8721385920295901,6.274147908373492e-8,3.179373692501701e-8,3.780451320576361,10.0,2.081996174744455,0.049413788729986675
a1[9],5.013133768485375,5.276248645875633e-8,1.6684963222346177e-8,10.0,10.0,1.0071955937034516,0.13070870258541814
a1[10],8.660529466484414,9.995039115130327e-8,4.90239043664388e-8,3.896288901621299,10.0,2.081996174744455,0.05092788672288839
a1[11],5.24851894057346,1.0774290558846439e-7,3.8749685032235786e-8,10.0,10.0,2.081996174744455,0.13070870258541814
a2[1],4.472259834321674,4.0958832545740015e-8,1.9596121620521873e-8,3.990158219484078,10.0,2.081996174744455,0.05215484039793059
a2[2],23.570622088964868,2.5029193192932917e-8,7.91492584860504e-9,10.0,10.0,0.9731344291072495,0.13070870258541814
a2[3],6.146467110065494,9.557316887295531e-8,4.973052380634829e-8,4.070234423020263,10.0,2.081996174744455,0.05320150606514866
a2[4],0.2742450247980851,4.8230564509645785e-8,1.9326124496798565e-8,6.743473215690613,10.0,1.0093020146064406,0.08814306349424375
a2[5],6.915978317081276,7.843955086346569e-8,2.915663266632368e-8,6.778077454534049,10.0,1.582038566169181,0.0885953710105619
a2[6],1.9641324988142397,9.184203495237629e-8,3.630214094987517e-8,10.0,10.0,1.016644552439207,0.13070870258541814
a2[7],15.815897399875704,7.972316652073173e-8,4.150439431397334e-8,3.7493809809509915,10.0,2.081996174744455,0.049007672351854645
a2[8],-14.08700163998424,7.933609389450464e-8,2.625870153175445e-8,9.422412025763515,10.0,0.9043290326707105,0.12315912511127905
a2[9],8.305047717593501,5.996896720376215e-8,3.0769991608030336e-8,4.059468894719988,10.0,2.081996174744455,0.053060791241471096
a2[10],8.657829500133355,6.059711537392966e-8,2.9448210292741883e-8,4.243378500289589,10.0,1.582038566169181,0.05546464983517096
a2[11],-1.7829884936228209,5.9734620868093e-8,2.1215988769157773e-8,10.0,10.0,2.1504820019630966,0.13070870258541814
a3[1],10.638185399309332,6.165332245907247e-8,2.1170047646806662e-8,6.48923195620447,10.0,1.0499999724694031,0.08481990897713211
a3[2],-2.384889555644572,1.5845074331273866e-7,7.89290257154785e-8,3.847934243297307,10.0,2.081996174744455,0.05029584925753937
a3[3],-1.5578150696897453,3.402530055118814e-8,1.075974478135371e-8,10.0,10.0,0.9017426850930279,0.13070870258541814
a3[4],13.138691680369709,1.0155396281470055e-7,4.367435616688414e-8,5.751006839325033,10.0,1.0728242410071083,0.07517066425280414
a3[5],-9.256521457796643,4.110787213452033e-8,2.1014898785986615e-8,3.810200591841377,10.0,2.081996174744455,0.04980263759497787
a3[6],0.5280836162895364,1.3693198685386459e-7,5.0296567002390024e-8,9.02224156271846,10.0,2.1504820019630966,0.11792854890751653
a3[7],11.864093031620602,7.188659263429925e-8,2.9513141167871193e-8,7.4908311324508166,10.0,1.7894277714570717,0.09791168186091047
a3[8],8.86765223623688,9.132695044481885e-8,4.535327048345955e-8,3.884837425905812,10.0,2.081996174744455,0.05077820596954242
a3[9],-1.1866451054577027,4.56536018254583e-8,1.7676912911007835e-8,7.133191172654093,10.0,1.582038566169181,0.09323701634713738
a3[10],5.029359465471388,5.261057462994061e-8,2.3005021362377877e-8,5.255279214773773,10.0,1.2658090668974296,0.06869107278871948
a3[11],-0.7697980100339882,9.231941204048414e-8,3.8915864390344856e-8,9.114069573356046,10.0,1.1039721334025385,0.11912882092066042
a4[1],19.835534202060234,7.380214252743249e-8,2.7033625314568765e-8,8.36773439012726,10.0,0.9745757517814414,0.10937357057129193
a4[2],-15.47044827601439,7.181135558649458e-8,2.828280725705658e-8,6.078511636779451,10.0,1.1071227100893337,0.07945143696938085
a4[3],-0.4481503628355684,5.001397396053024e-8,2.0978535232374145e-8,6.925924021860536,10.0,1.4286555871805373,0.09052785431025719
a4[4],22.86093384870199,9.072915854401563e-8,4.6232945286593664e-8,3.8846902356241486,10.0,2.081996174744455,0.05077628206446747
a4[5],11.534004468051728,3.98657887441226e-8,1.4145018265555772e-8,10.0,10.0,1.0494301775562167,0.13070870258541814
a4[6],13.623031048364846,5.5833432937718134e-8,2.6495249478157272e-8,4.451133148087891,10.0,1.582038566169181,0.058180183882151605
a4[7],-7.720987690370741,7.719598505459388e-8,3.80588155064342e-8,4.077176547433104,10.0,2.081996174744455,0.053292245672667556
a4[8],-6.478294815143468,5.511960757448991e-8,1.7692967288963058e-8,10.0,10.0,1.0071955937034516,0.13070870258541814
a4[9],-11.757326722664363,7.25334176808259e-8,3.7956153713361776e-8,3.904625408718747,10.0,2.081996174744455,0.05103685212556854
a4[10],-1.9473048162333135,1.0467804160039873e-7,5.351680542378807e-8,3.897174598944532,10.0,2.081996174744455,0.050939463557688705
a4[11],-9.618407617032343,8.926099004545235e-8,4.188137964973463e-8,5.319990105210617,10.0,1.2128935480794147,0.06953690044193418
b[1],0.01454860322100364,1.5282334097078957e-9,5.662549943535094e-10,7.786994956353669,10.0,2.1504820019630966,0.10178280077841828
b[2],0.041839230542023854,1.6967865994942759e-9,6.638127667840875e-10,7.11799278252438,10.0,1.7894277714570714,0.0930383601616132
b[3],0.04716643930357998,8.963502846185792e-9,4.77668170711225e-9,3.830473531155399,10.0,2.081996174744455,0.05006762255451074
b[4],0.06084962576071866,4.989078265954785e-9,2.340384758529801e-9,5.523281995747167,10.0,1.6048151536090998,0.07219410236775112
b[5],0.07538455444634523,4.595854011337103e-9,1.4950189669516627e-9,10.0,10.0,1.3237400838407165,0.13070870258541814
b[6],0.042093329803541316,6.864425202320287e-9,3.509709568685452e-9,3.9766083911865575,10.0,2.081996174744455,0.051977732350228185
b[7],0.06242298012003974,1.127072049569049e-8,5.759036921278055e-9,3.844864827312894,10.0,2.081996174744455,0.050255729319437614
b[8],0.031185057696493056,4.204415954556983e-9,1.7987382668657943e-9,8.897583227525416,10.0,1.4433852782159122,0.11629915598156244
b[9],0.21314616416137064,7.4660413011052e-9,3.4592426599119355e-9,5.538307548903835,10.0,1.1818376937184523,0.07239049942362474
b[10],0.1075794191337687,7.452487054674605e-9,3.794262214598726e-9,3.8406035011765027,10.0,2.081996174744455,0.05020003007837951
b[11],0.3037845958111153,7.1697191355552226e-9,3.4231902314829798e-9,4.7795565882837305,10.0,1.4155961675180162,0.062472964058815396
sigma1,0.7054486123646182,8.818741170862751e-8,4.271511728078663e-8,3.844864827312894,10.0,2.081996174744455,0.050255729319437614
sigma2,6.738421124159602,3.4871079009637965e-7,1.1634070077534305e-7,8.406793215331227,10.0,1.2658090668974293,0.10988410340798405
sigma3,3.6343182968094587,1.81000073515587e-7,6.99243441179507e-8,6.411529771235964,10.0,1.1818376937184523,0.08380427379860356
sigma4,1.1457939863719933,1.1408542362405113e-7,3.607697864771828e-8,10.0,10.0,1.6048151536090995,0.13070870258541814
c1,4.258632717338382,5.590022027893149e-8,2.5600886626406605e-8,7.107015406695291,10.0,1.1929477121858822,0.09289487630637193
c2,1.7856269829427085,8.68720908203837e-8,3.0757422056299717e-8,7.4497671985246825,10.0,2.081996174744455,0.09737494050825664
c3,0.007654609010155118,5.724818492864683e-8,1.8103465628504796e-8,10.0,10.0,0.9418953859972736,0.13070870258541814
c4,3.717129637496947,7.632585156444078e-8,3.105217026744194e-8,6.043329560460881,10.0,1.0728242410071083,0.07899157661439471
k1[1],5.620489577550684,8.49015613195843e-8,2.9260989622509225e-8,8.220478741406483,10.0,1.582038566169181,0.10744881109202524
k1[2],9.518428508388471,6.874965519449384e-8,3.250815343540033e-8,4.553441926220675,10.0,1.4155961675180162,0.05951744864743516
k1[3],12.677299870601995,6.878424038502882e-8,2.8909443113938107e-8,6.507021436868019,10.0,1.138939905672073,0.0850524329708522
k1[4],16.556838100712817,6.928275822660198e-8,2.977301243519971e-8,6.944523374715908,10.0,1.1155243505733183,0.09077096403832259
k1[5],21.263193026598948,7.336989806765524e-8,3.949160383663042e-8,4.009348503672317,10.0,2.081996174744455,0.05240567411277962
k1[6],25.684427335273757,9.134994279038723e-8,3.8447681538157654e-8,9.044463635826348,10.0,1.016644552439207,0.11821901074198557
k1[7],29.497288240277584,1.0687075674854287e-7,3.922506716803233e-8,7.728491726071071,10.0,1.4433852782159122,0.10101811264568884
k1[8],33.17293223097183,5.5328569005723954e-8,2.155409605440835e-8,7.730005420780729,10.0,1.2658090668974293,0.10103789795284983
k1[9],37.813565566169146,1.1483437694536334e-7,5.99649087722439e-8,3.834537226312027,10.0,2.081996174744455,0.05012073858667329
k1[10],42.228672944531006,1.0339875378080139e-7,4.074936211700736e-8,10.0,10.0,1.4155961675180162,0.13070870258541814
k1[11],46.37972971781444,4.487044232387307e-8,1.9161552470022344e-8,6.364190966083236,10.0,1.1155243505733183,0.08318551441825786
