parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-6.5998413711515145,0.046581839795191884,0.001144615378894249,1640.971881276032,904.7407090335399,1.0005552869951602,4.101722156118149
alpha(30-34),-6.606621686470364,0.04615178209476056,0.001267908233067788,1345.277373366782,669.8804997879151,0.9993773265984014,3.362613382608455
alpha(35-39),-6.366815179693336,0.0486935061406912,0.0014721955819914068,1101.970718122948,745.4214418248812,0.9996657573073028,2.7544516523973313
alpha(40-44),-6.113085175447121,0.04812691297500922,0.0012903999250292225,1403.3924915273515,707.4264727336348,1.0007847749050705,3.507876120187646
alpha(45-49),-5.757660834166798,0.048935400438300185,0.0013992951772253755,1242.544243932444,677.9412798649939,1.0006137445191488,3.1058248550436147
alpha(50-54),-5.25222598732393,0.046332750084719536,0.0011592231797714612,1615.5563921483215,716.6564572548633,1.0017128039748442,4.0381943918382115
alpha(55-59),-4.726130492796407,0.047226308148322134,0.0012516425115522468,1426.102050738521,627.2816575304428,0.9991703988919521,3.564640226407247
alpha(60-64),-3.934407380521846,0.049172464963769785,0.0014299833876687358,1156.4652449237158,646.823904150098,0.9995105237392494,2.890664472687751
alpha(65-69),-3.197535634332807,0.045699177154897984,0.0011258136758043843,1632.7859354707289,737.2111659514577,1.0027613830398403,4.081260821185167
alpha(70-74),-1.9837823550652343,0.04568259562992352,0.0011878005231388607,1505.4161361596603,742.2406082020027,0.9996278736571775,3.7628912416599642
alpha(75+),-0.5018020187367151,0.04468155982816628,0.001192064097246617,1398.0247508031507,508.15142898932675,1.0010713302728185,3.494459082816091
beta(25-29),0.07113197327521342,0.010987173364444242,0.0002948855746766485,1379.1390832109907,678.9875353853474,0.9990493889765379,3.447253056875166
beta(30-34),0.05278354641905519,0.011459694068272717,0.0003026593973605729,1354.1013969212647,556.2184886767515,1.0028542027041683,3.3846696367908153
beta(35-39),0.04701655345767367,0.011778349057854066,0.0004766051050977084,671.3502459067893,374.20341098213004,0.9994418127182672,1.6780861449069766
beta(40-44),0.046548988920347,0.01114408729139145,0.00030055913924055707,1396.5746097973804,659.1197841363885,1.0002110963551132,3.4908343555671153
beta(45-49),0.03936117095542655,0.010234073559702826,0.0003435460835977182,849.2047842515652,504.31517683193726,0.9991159337646948,2.122645804227684
beta(50-54),0.05710763134895516,0.010641237164867949,0.00032830423294037746,1036.9058597895928,610.5825186115011,1.011655994022458,2.591817560944719
beta(55-59),0.0805503188602043,0.011441754017927559,0.00038172000882659527,894.5319828427839,573.4541476200798,1.0018586460585153,2.235944256722675
beta(60-64),0.11927326814348688,0.01107786606475522,0.0003310571893940883,1121.2540615806897,812.7352177340922,1.0009880311400714,2.802651696534072
beta(65-69),0.15043836990848228,0.011567618365374057,0.00033961886062548535,1143.3017999558965,581.9192297526857,1.001320123032814,2.857761536024777
beta(70-74),0.2018883182373816,0.011867630012557934,0.0003814684921157872,969.8710262735787,548.18763323119,0.9992815458549893,2.4242593809407342
beta(75+),0.1338998604737739,0.011277062265969279,0.00035774470574045556,1001.8788525144133,528.5259330310132,1.0004558340736698,2.504265145548426
sigma,0.9958147290352455,0.14662392613160502,0.006026143478307335,494.7748313006371,786.9740000308661,0.9993858594492926,1.2367237434058553
c,-0.8427257138390916,0.2308596463283759,0.011349961563080158,419.2446139022222,556.8778181332486,1.0016761592074643,1.0479307666983
kappa(1998),-0.8100570127398713,1.0239355158087826,0.17582552955182904,34.57675575969602,113.30272238681962,1.0134451148545869,0.08642698074506153
kappa(1999),-2.4977670353996264,1.213416282267538,0.24707101664370296,24.457475370606247,95.89127221126114,1.0100193137147313,0.061133142959355125
kappa(2000),-3.647089718169263,1.2669602955201593,0.24709002009013167,26.551120771808225,105.2245727321997,1.0078715835647123,0.06636635373350153
kappa(2001),-4.50048278193612,1.285032051280067,0.24721169801423853,26.937712145151146,93.34634489446333,1.0096222804102681,0.06733266547808289
kappa(2002),-5.27708653907741,1.2889429468562557,0.24849697827915404,26.741564472449053,58.63986384051246,1.013436716677299,0.06684238087042248
kappa(2003),-6.071394969020037,1.3094657528341975,0.24511514527793118,28.25755283581653,97.2775929799531,1.0123029095507317,0.07063169812161534
kappa(2004),-6.719051903621572,1.3177905684839075,0.24641992389226577,28.262539146552214,108.17518438270339,1.0055100358754019,0.07064416174847891
kappa(2005),-7.052296325894598,1.2797730563030552,0.22597739314050058,31.710723238975397,85.03056819976571,1.0092991362035524,0.07926313520661535
kappa(2006),-7.242795561196118,1.287754894463116,0.24500770339290268,27.19069477737161,93.47333098072238,1.0175357392471422,0.0679650129786902
kappa(2007),-6.941863263865859,1.3103615302035445,0.24370774169924014,27.82052040033881,92.85460621868447,1.0273968659582957,0.06953930547065333
kappa(2008),-5.048258395033835,1.28706766968211,0.2273645454948884,31.213345269510103,89.4591264001163,1.0219296972034788,0.07801990474020756
kappa(2009),-4.834383891451014,1.2915027850946885,0.23977724581663476,29.137551469327867,86.51962662353318,1.0215612350089682,0.07283131527143534
kappa(2010),-5.012876521435953,1.2761774568074409,0.24502716799301294,27.379434802622175,82.48147284897986,1.0141266419047257,0.06843678166171879
kappa(2011),-5.827202858022453,1.3051373971878286,0.25019029634215845,27.322696575697915,90.7101608790125,1.0106164080861113,0.06829496055854843
kappa(2012),-6.848394045823601,1.2865400398147067,0.24839671914139147,27.03126677818318,92.36023485040023,1.0180828257169416,0.06756651172218588
kappa(2013),-8.12399443533338,1.262411022639398,0.23832285126767627,27.97047164612529,90.82907493359865,1.009409600686186,0.06991411892979783
kappa(2014),-9.427952015929765,1.2632323193946378,0.22898017627755793,30.27802964714974,94.49737742898463,1.0088967390353536,0.0756820189696021
kappa(2015),-11.118135723696017,1.273563001107426,0.2366813422485569,28.854705809494163,94.1684862351084,1.0137961037706522,0.07212432307800445
kappa(2016),-13.281421342564416,1.2900189648054157,0.23497172911385614,30.328416039298872,81.50863213860677,1.010395190922126,0.07580796322459094
kappa(2017),-15.739194810757578,1.335282306422196,0.25082206402661056,27.64402812017548,84.42583104921815,1.0089280649290253,0.06909815086941372
kappa(2018),-18.00664887895069,1.3973825480219586,0.23984222295194424,33.52647390432147,110.11077082669094,1.0058862439884257,0.08380172896255764
Sigma,0.20962268191461866,0.011231783515208647,0.00042245446055831295,742.491710440574,474.2112548929605,1.0106541059576217,1.8559091317762035
"logmu[25-29, 1997]",-6.422872612946212,0.06106363409932563,0.0020846831547580136,862.4115289259283,709.8981713770997,1.0003740227369071,2.155656971487239
"logmu[25-29, 1998]",-6.554544534410401,0.06137063108083774,0.0018243514038414465,1135.499632973644,412.80979959138546,1.0035683153326913,2.838259482673349
"logmu[25-29, 1999]",-6.441494049337878,0.0621832766345379,0.0016445850234519486,1476.4022085862796,684.7009800492453,1.002076590077889,3.6903689328247866
"logmu[25-29, 2000]",-6.585835980582707,0.061570623032390887,0.001381234813560906,2027.9343191891583,571.6971212367198,0.9997496469472165,5.068961402131028
"logmu[25-29, 2001]",-6.547870148908845,0.06075745875761936,0.0016853447680162726,1290.9967868397348,787.222843560618,0.999386518373291,3.2269353207565064
"logmu[25-29, 2002]",-6.571438289618729,0.06421604448817639,0.001598845222955527,1618.1795805179347,694.5011141749725,1.0031915501835365,4.044751231707367
"logmu[25-29, 2003]",-6.663914191636055,0.05731928291859161,0.001393548253195854,1694.0573935162174,747.4188500449204,0.9990635354831412,4.234413047539843
"logmu[25-29, 2004]",-6.552426026618215,0.0643367462174511,0.0019301492155840711,1106.2219298461755,696.2342125635106,0.9996425732118284,2.7650778486865404
"logmu[25-29, 2005]",-6.446957031877207,0.062094202709250715,0.0018211874739651934,1172.3864266447915,587.2365580368864,0.9993709314856161,2.9304605621650053
"logmu[25-29, 2006]",-6.41276170389049,0.06125615791072006,0.001642848514231988,1370.1196851692011,526.4682243874569,1.0106064816431037,3.4247084507152543
"logmu[25-29, 2007]",-6.220732199816977,0.055002660956160646,0.001534230733258014,1288.4154227818212,721.6608320687808,1.0002395405633602,3.2204830236329762
"logmu[25-29, 2008]",-6.219102841153697,0.05530771272856813,0.0016115796527332558,1179.0243722482223,781.2028794012617,0.9995087413692122,2.9470525640532563
"logmu[25-29, 2009]",-6.188021460084549,0.05535050172898363,0.001165324038363477,2296.104644512595,718.2564594496419,1.000161312152057,5.739271586932741
