1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
629.577,570.607,523.78,486.949,458.502,437.242,422.305,413.098,409.427,412.134,421.516,438.028,462.49,494.059,520.619,538.875,547.878,547.152,536.734,517.176,489.492
656.002,620.12,587.964,559.155,533.357,510.281,489.673,471.311,455.904,448.488,449.571,459.215,477.974,504.975,529.008,547.381,559.437,564.739,563.091,554.555,539.442
573.414,573.289,571.394,567.748,562.384,555.351,546.713,536.548,526.231,523.395,529.212,543.972,568.42,601.366,628.583,646.502,654.276,651.532,638.402,615.512,583.932
463.292,466.887,471.538,477.276,484.139,492.173,501.434,511.985,524.46,542.459,567.131,599.326,640.185,688.38,726.998,750.997,758.828,749.977,725.024,685.578,634.105
365.088,403.688,438.054,466.491,487.52,500.006,503.259,497.097,485.003,485.986,503.384,538.978,596.539,676.94,749.877,804.279,835.217,839.786,817.549,770.612,703.289
297.757,342.958,386.077,424.775,456.771,480.055,493.102,495.036,488.578,491.02,505.449,532.927,575.534,633.152,686.606,729.947,760.78,777.34,778.658,764.657,736.157
210.091,241.099,272.278,302.594,330.932,356.161,377.211,393.146,404.89,422.322,447.978,483.256,530.158,588.619,642.439,685.949,716.497,732.148,731.891,715.741,684.744
167.474,194.642,222.994,251.834,280.351,307.649,332.793,354.862,373.747,393.486,414.936,438.262,463.647,490.691,515.7,537.552,555.75,569.866,579.563,584.607,584.874
109.157,133.586,159.036,184.185,207.51,227.43,242.484,251.503,255.292,262.918,276.377,296.538,324.756,361.284,396.693,427.849,453.27,471.687,482.15,484.106,477.452
93.549,112.865,132.259,150.537,166.42,178.698,186.372,188.795,187.076,189.178,196.614,210.016,230.559,258.666,286.629,311.932,333.394,349.956,360.767,365.257,363.186
110.33599999999998,143.487,179.555,216.18699999999998,250.43599999999998,279.125,299.349,308.961,309.209,313.497,324.25600000000003,342.11400000000003,368.24800000000005,402.93199999999996,437.679,470.009,498.932,523.568,543.239,557.533,566.3879999999999
