1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
309.945,216.996,158.778,121.423,97.047,81.066,70.773,64.575,61.225,58.268,55.343,52.459,49.626,46.861,44.221,41.71,39.324,37.057,34.905,32.862,30.925
361.004,238.664,166.927,123.519,96.696,80.085,70.171,65.048,63.338,62.051,60.726,59.367,57.978,56.518,54.746,52.652,50.279,47.671,44.877,41.947,38.93
327.02,205.72,139.407,101.766,80.026,67.79,61.86,60.808,63.58,65.534,65.752,64.215,61.046,56.757,53.097,50.218,48.017,46.416,45.362,44.818,44.767
319.821,212.44,151.732,116.528,96.228,85.444,81.579,83.75,91.004,95.223,94.445,88.793,79.128,67.563,58.946,53.118,49.438,47.524,47.185,48.387,51.249
331.228,220.877,158.339,122.022,101.088,90.028,86.192,88.71,96.667,101.794,102.023,97.32,88.356,77.067,68.321,62.138,57.981,55.505,54.513,54.928,56.781
286.727,198.852,147.592,117.238,99.666,90.677,88.292,92.006,101.169,107.845,109.887,107.024,99.633,89.373,81.066,74.955,70.646,67.873,66.471,66.358,67.527
269.626,205.276,162.602,134.006,114.904,102.507,95.145,91.881,91.747,91.28,89.928,87.73,84.749,81.258,78.419,76.35,74.995,74.318,74.3,74.94,76.257
243.05,189.382,152.87,127.832,110.739,99.379,92.391,88.982,88.278,87.208,85.3,82.61,79.216,75.446,72.71,71.129,70.63,71.191,72.836,75.642,79.738
208.856,168.731,140.363,120.232,106.046,96.312,90.069,86.732,85.666,84.799,83.798,82.669,81.418,80.102,79.034,78.256,77.759,77.538,77.591,77.918,78.523
174.864,145.062,123.447,107.764,96.503,88.65,83.539,80.754,79.943,80.23,81.489,83.766,87.144,91.372,94.183,95.041,93.893,90.81,85.984,79.704,72.331
222.56600000000003,185.791,160.861,144.354,134.189,129.16899999999998,128.72700000000003,132.81199999999998,141.038,148.811,155.179,160.132,163.851,166.79199999999997,169.575,171.81900000000002,173.13199999999998,173.281,172.20700000000002,170.034,167.056
