1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
435.0,443.0,438.0,444.0,455.0,500.0,456.0,452.0,492.0,544.0,524.0,572.0,508.0,559.0,512.0,528.0,513.0,522.0,542.0,568.0,648.0
498.0,510.0,485.0,515.0,498.0,500.0,496.0,458.0,463.0,522.0,485.0,567.0,547.0,537.0,562.0,578.0,582.0,554.0,628.0,609.0,646.0
538.0,611.0,563.0,588.0,601.0,579.0,586.0,595.0,618.0,613.0,550.0,598.0,596.0,568.0,595.0,580.0,606.0,672.0,666.0,730.0,806.0
531.0,583.0,624.0,669.0,697.0,676.0,712.0,709.0,703.0,693.0,744.0,740.0,765.0,724.0,709.0,714.0,707.0,743.0,756.0,781.0,731.0
597.0,621.0,683.0,688.0,705.0,747.0,801.0,772.0,830.0,846.0,906.0,931.0,889.0,885.0,937.0,886.0,989.0,985.0,1047.0,1011.0,1095.0
630.0,587.0,639.0,712.0,721.0,807.0,816.0,838.0,929.0,926.0,952.0,979.0,1076.0,1043.0,1041.0,1134.0,1168.0,1169.0,1271.0,1345.0,1253.0
621.0,690.0,649.0,712.0,772.0,829.0,765.0,839.0,883.0,947.0,975.0,1018.0,1066.0,1069.0,1196.0,1202.0,1329.0,1355.0,1431.0,1529.0,1607.0
856.0,864.0,853.0,842.0,883.0,958.0,904.0,884.0,928.0,927.0,1054.0,1038.0,1120.0,1078.0,1149.0,1214.0,1274.0,1496.0,1577.0,1611.0,1731.0
1013.0,1070.0,1055.0,1035.0,1045.0,1060.0,1091.0,1126.0,1088.0,1160.0,1230.0,1254.0,1180.0,1124.0,1164.0,1254.0,1379.0,1504.0,1530.0,1670.0,1692.0
1110.0,1138.0,1182.0,1201.0,1312.0,1327.0,1324.0,1273.0,1399.0,1430.0,1481.0,1532.0,1445.0,1462.0,1404.0,1438.0,1450.0,1575.0,1634.0,1685.0,1783.0
3736.0,3829.0,3911.0,4011.0,4449.0,4715.0,4955.0,5200.0,5341.0,5876.0,6758.0,6404.0,6891.0,6554.0,6638.0,6795.0,7603.0,8292.0,8336.0,8858.0,9054.0
