1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2455.0,2544.0,2800.0,2790.0,2881.0,2478.0,2291.0,2007.0,2089.0,2109.0,1487.0,1741.0,1526.0,1309.0,1253.0,1129.0,1023.0,1017.0,972.0,980.0,1037.0
2210.0,2296.0,2472.0,2534.0,2685.0,2272.0,2137.0,1813.0,1879.0,1803.0,1411.0,1459.0,1408.0,1294.0,1178.0,1133.0,1025.0,1043.0,1011.0,963.0,1154.0
1960.0,2029.0,2260.0,2292.0,2392.0,2091.0,1997.0,1829.0,1831.0,1759.0,1378.0,1434.0,1297.0,1279.0,1108.0,1016.0,979.0,1036.0,1051.0,1019.0,1192.0
1776.0,2063.0,2130.0,2234.0,2167.0,2003.0,1969.0,1826.0,1787.0,1799.0,1407.0,1502.0,1452.0,1337.0,1270.0,1265.0,1120.0,1153.0,1136.0,1144.0,1210.0
1844.0,1971.0,2112.0,2175.0,2097.0,2094.0,1994.0,1920.0,2047.0,1879.0,1652.0,1649.0,1625.0,1605.0,1500.0,1401.0,1405.0,1441.0,1439.0,1406.0,1559.0
1968.0,2211.0,2186.0,2345.0,2376.0,2337.0,2272.0,2277.0,2291.0,2319.0,2057.0,2005.0,2073.0,1950.0,1917.0,1918.0,1875.0,2010.0,1971.0,1985.0,2133.0
2373.0,2537.0,2529.0,2476.0,2458.0,2551.0,2631.0,2682.0,2857.0,2764.0,2505.0,2491.0,2511.0,2390.0,2616.0,2615.0,2638.0,2606.0,2903.0,2688.0,2934.0
3043.0,3390.0,3367.0,3506.0,3399.0,3371.0,3443.0,3461.0,3407.0,3393.0,3093.0,3004.0,3146.0,3091.0,3125.0,3188.0,3357.0,3410.0,3813.0,3681.0,3972.0
3839.0,4183.0,4101.0,4146.0,4180.0,4260.0,4451.0,4418.0,4687.0,4577.0,3966.0,3906.0,3796.0,3723.0,3730.0,3913.0,4046.0,4365.0,4540.0,4652.0,4861.0
4224.0,4863.0,5075.0,5242.0,5213.0,5511.0,5343.0,5468.0,5393.0,5350.0,4863.0,4673.0,4817.0,4574.0,4841.0,5132.0,5064.0,5172.0,5384.0,5343.0,5770.0
11578.0,13670.0,13668.0,14387.0,14612.0,15807.0,16270.0,17520.0,18699.0,18430.0,17383.0,16346.0,16971.0,17087.0,18098.0,18790.0,20369.0,21809.0,22361.0,23548.0,24572.0
