"model","year","age_group","education","n_observations","mse","rmse"
"Model A",2014,"15-19","No Formal Education",1,5.82008909163863e-07,0.000762895083981974
"Model A",2014,"15-19","Post Secondary",1,6.99189670790245e-08,0.000264421948935833
"Model A",2014,"15-19","Primary",1,9.52930892048022e-09,9.76181792520237e-05
"Model A",2014,"15-19","Secondary",1,6.44122298751502e-10,2.53795645894783e-05
"Model A",2014,"20-24","No Formal Education",1,1.78301714089447e-05,0.00422257876290599
"Model A",2014,"20-24","Post Secondary",1,7.63808457161506e-09,8.73961359078024e-05
"Model A",2014,"20-24","Primary",1,1.9042691748107e-06,0.00137995259875501
"Model A",2014,"20-24","Secondary",1,4.0225103636894e-08,0.000200561969567747
"Model A",2014,"25-29","No Formal Education",1,5.25709888969951e-05,0.00725058541753665
"Model A",2014,"25-29","Post Secondary",1,1.12975346192543e-06,0.00106289861319198
"Model A",2014,"25-29","Primary",1,1.29005819142179e-07,0.000359173800745793
"Model A",2014,"25-29","Secondary",1,8.32775949286168e-09,9.12565586292935e-05
"Model A",2014,"30-34","No Formal Education",1,2.33254104876818e-05,0.00482963875333153
"Model A",2014,"30-34","Post Secondary",1,1.75302357219671e-06,0.0013240179652092
"Model A",2014,"30-34","Primary",1,1.32418232177285e-05,0.00363893160388162
"Model A",2014,"30-34","Secondary",1,1.27536797997921e-05,0.00357122945213439
"Model A",2014,"35-39","No Formal Education",1,0.000130077246887057,0.0114051412480099
"Model A",2014,"35-39","Post Secondary",1,0.00903097483715586,0.095031441308421
"Model A",2014,"35-39","Primary",1,0.000340078758164901,0.018441224421521
"Model A",2014,"35-39","Secondary",1,0.00277768592571306,0.0527037562770725
"Model A",2014,"40-44","No Formal Education",1,0.0896191207831422,0.299364528264693
"Model A",2014,"40-44","Post Secondary",1,0.0476687418620773,0.218331724360152
"Model A",2014,"40-44","Primary",1,0.028633838913131,0.169215362521052
"Model A",2014,"40-44","Secondary",1,0.00176066378988327,0.0419602644162698
"Model A",2015,"15-19","No Formal Education",1,1.62034248821205e-06,0.0012729267411018
"Model A",2015,"15-19","Post Secondary",1,5.55896169058729e-08,0.000235774504359298
"Model A",2015,"15-19","Primary",1,2.43146410784465e-08,0.00015593152689064
"Model A",2015,"15-19","Secondary",1,9.45207711050774e-09,9.72217933927766e-05
"Model A",2015,"20-24","No Formal Education",1,6.33803857200403e-06,0.00251754614098809
"Model A",2015,"20-24","Post Secondary",1,7.33241027307305e-08,0.00027078423648863
"Model A",2015,"20-24","Primary",1,9.58199669566605e-08,0.000309548004284732
"Model A",2015,"20-24","Secondary",1,1.81962598697591e-10,1.34893513075163e-05
"Model A",2015,"25-29","No Formal Education",1,8.39835463300608e-05,0.00916425372466634
"Model A",2015,"25-29","Post Secondary",1,3.52157586214849e-07,0.000593428669862561
"Model A",2015,"25-29","Primary",1,2.39398017427013e-11,4.89283166915655e-06
"Model A",2015,"25-29","Secondary",1,2.78952439928239e-07,0.000528159483421664
"Model A",2015,"30-34","No Formal Education",1,8.71217852842117e-05,0.00933390514651888
