"model","sex","education","mean_crps","mean_log_score","coverage_80","coverage_95","mean_interval_width_80","mean_interval_width_95","n_observations"
"Model A","Female","No Formal Education",0.0196871148192742,-2.0445625071749,0.927272727272727,0.981818181818182,0.124116137742276,0.188468570250331,55
"Model A","Female","Post Secondary",0.00901570596467558,-2.39702185887448,1,1,0.0962361160104384,0.146885122530398,55
"Model A","Female","Primary",0.00920939410870102,-2.68123378230577,1,1,0.0761742228468241,0.116098421026828,55
"Model A","Female","Secondary",0.0080722492714823,-2.58420687205686,1,1,0.0735284404833331,0.112294666476566,55
"Model A","Male","No Formal Education",0.0118251616809824,-2.31929957498536,1,1,0.101872267352978,0.155202777217564,55
"Model A","Male","Post Secondary",0.00660327463373213,-2.66935575128751,1,1,0.0714184150528939,0.109028916702469,55
"Model A","Male","Primary",0.00532488232069319,-2.96309530383159,1,1,0.0547741800314349,0.0833632560377687,55
"Model A","Male","Secondary",0.00605948048735575,-2.84667243668051,1,1,0.0555723185252004,0.0845930327405695,55
"Model B","Female","No Formal Education",7.71759298298236,Inf,0,0,0.000227918352187335,0.000232411006801209,55
"Model B","Female","Post Secondary",8.87798898889685,Inf,0,0,1.8953273966459e-05,1.97365832506695e-05,55
"Model B","Female","Primary",8.29864635872596,Inf,0,0,0.0198875432850475,0.0202434041815944,55
"Model B","Female","Secondary",16.1160505542359,Inf,0,0,6.85345246323798e-05,7.0166469621714e-05,55
"Model B","Male","No Formal Education",8.01969849605083,Inf,0,0,2.62228296632472e-08,2.72225535007992e-08,55
"Model B","Male","Post Secondary",10.0786056683823,Inf,0,0,4.86701456005954e-09,5.72465298296556e-09,55
"Model B","Male","Primary",8.79020726205747,Inf,0,0,0.00124108642183435,0.00126288891225514,55
"Model B","Male","Secondary",9.473321441495,Inf,0,0,5.29214060856537e-09,5.94418056594618e-09,55
"Model C","Female","No Formal Education",0.013761081910493,-2.11260539711116,1,1,0.144528053333825,0.22104991827451,55
"Model C","Female","Post Secondary",0.00900032514328743,-2.38400958225324,1,1,0.0972139451513617,0.146943020375672,55
"Model C","Female","Primary",0.0103697631893691,-2.63898786615858,1,1,0.0770141558058991,0.117015461205176,55
"Model C","Female","Secondary",0.00720392312231322,-2.60664157431001,1,1,0.0767162199894777,0.11654003268912,55
"Model C","Male","No Formal Education",0.207606869924885,Inf,0.0727272727272727,0.145454545454545,0.111651399793034,0.170342422625686,55
"Model C","Male","Post Secondary",0.14574549872981,Inf,0.272727272727273,0.345454545454545,0.0720652520876901,0.109607470116776,55
"Model C","Male","Primary",0.143073276388402,Inf,0.0545454545454545,0.0909090909090909,0.0555938787738989,0.0845404703243255,55
"Model C","Male","Secondary",0.0966688309942387,50.5485155050925,0.0545454545454545,0.0909090909090909,0.0574988383868062,0.0874248281771272,55
"Model D","Female","No Formal Education",0.0132700799371222,-2.12460776809068,1,1,0.14355418786717,0.218343620026691,55
"Model D","Female","Post Secondary",0.00894082197907294,-2.3880780241887,1,1,0.0963368461983762,0.147108410798428,55
"Model D","Female","Primary",0.00788110924686493,-2.68364568935344,1,1,0.0807847411764966,0.122870324071906,55
"Model D","Female","Secondary",0.00775133195824168,-2.60273429469975,1,1,0.0747791144305812,0.114352593681395,55
"Model D","Male","No Formal Education",0.0101683490367079,-2.30194321370903,1,1,0.110154324396315,0.167010912153308,55
"Model D","Male","Post Secondary",0.00673606004849679,-2.66243238127643,1,1,0.0715668379072178,0.110423825194338,55
"Model D","Male","Primary",0.00524650151817336,-2.94307358104273,1,1,0.056192772351178,0.084973808330924,55
"Model D","Male","Secondary",0.00551439111214458,-2.8736859983908,1,1,0.056327938899164,0.0855790281139189,55
