"model","education","mean_crps","mean_log_score","coverage_80","coverage_95","mean_interval_width_80","mean_interval_width_95","n_observations"
"Model A","No Formal Education",0.0779943605996975,0.0628646277615755,0.833333333333333,0.833333333333333,0.144129445128922,0.218564961625283,30
"Model A","Post Secondary",0.0281669337574936,-2.7532012218617,0.833333333333333,0.9,0.0742134679267502,0.111977998125463,30
"Model A","Primary",0.0209250395330764,-2.20137520021913,0.933333333333333,0.933333333333333,0.0592474504894939,0.0913132199536992,30
"Model A","Secondary",0.0390813092700141,-2.13524999732257,0.9,0.933333333333333,0.0870630898957924,0.133890460716778,30
"Model B","No Formal Education",0.0732086131742697,-0.95398932197484,0.9,0.9,0.143684503091111,0.219311066621791,30
"Model B","Post Secondary",0.0207037601144054,-2.98883602414705,0.9,0.966666666666667,0.0801089876910023,0.123120461756932,30
"Model B","Primary",0.0322534067012245,-2.2655755203877,0.833333333333333,0.933333333333333,0.0681791085558351,0.103005856677313,30
"Model B","Secondary",0.0359776452937242,-2.42189792589239,0.9,0.933333333333333,0.0823631149659151,0.126587803668754,30
"Model C","No Formal Education",0.0232186782861146,-1.97558348814959,1,1,0.220515649519379,0.339162412481365,30
"Model C","Post Secondary",0.0113775483542668,-3.11145013201006,1,1,0.10562684440575,0.160862384780358,30
"Model C","Primary",0.0281355236480846,-0.572937942971077,0.9,0.933333333333333,0.0569595758927315,0.0863072411134954,30
"Model C","Secondary",0.0113119466701314,-3.0585058759541,1,1,0.110898566415051,0.168823766917096,30
