"model","education","n_observations","mse","rmse"
"Model A","No Formal Education",5,0.160150598028473,0.400188203260007
"Model B","No Formal Education",5,0.277974822607906,0.527233176695004
"Model C","No Formal Education",5,0.18084879901125,0.425263211448216
"Model A","Post Secondary",5,0.341009339151038,0.583960049276522
"Model B","Post Secondary",5,0.08263540335963,0.287463742687021
"Model C","Post Secondary",5,0.0991099648198993,0.31481735152291
"Model A","Primary",5,0.0156699331550845,0.125179603590539
"Model B","Primary",5,0.00395211373392142,0.0628658391650141
"Model C","Primary",5,0.0468229219147694,0.216386048336692
"Model A","Secondary",5,0.0139830301638799,0.118249863272141
"Model B","Secondary",5,0.00811964475515338,0.0901090714365284
"Model C","Secondary",5,0.02041654887939,0.142886489492149
