"model","sex","education","n_observations","mse","rmse"
"Model A","Female","No Formal Education",55,0.00173001610595115,0.0415934622981924
"Model A","Female","Post Secondary",55,2.96036620073962e-05,0.00544092473825876
"Model A","Female","Primary",55,0.00033742672773058,0.0183691787440424
"Model A","Female","Secondary",55,0.000116361986173797,0.0107871213107945
"Model A","Male","No Formal Education",55,0.000350803977810988,0.0187297618193876
"Model A","Male","Post Secondary",55,6.02079578659709e-06,0.00245373099311988
"Model A","Male","Primary",55,2.15309423445058e-05,0.00464014464693783
"Model A","Male","Secondary",55,5.674390694656e-05,0.00753285516564337
"Model B","Female","No Formal Education",55,108.011083052783,10.3928380653594
"Model B","Female","Post Secondary",55,139.962111240539,11.8305583655438
"Model B","Female","Primary",55,94.8063520191446,9.73685534549757
"Model B","Female","Secondary",55,352.96806778924,18.7874444187931
"Model B","Male","No Formal Education",55,82.8326259234386,9.10124309770037
"Model B","Male","Post Secondary",55,184.938915629621,13.5992248172321
"Model B","Male","Primary",55,122.562898821605,11.0708129250568
"Model B","Male","Secondary",55,97.1373436635112,9.85582790350518
"Model C","Female","No Formal Education",55,0.000132581529610955,0.0115144053086104
"Model C","Female","Post Secondary",55,1.49316383830954e-05,0.00386414782107199
"Model C","Female","Primary",55,0.000469109633900027,0.0216589388913683
"Model C","Female","Secondary",55,1.74357486012289e-05,0.00417561355985308
"Model C","Male","No Formal Education",55,0.0677952704242127,0.26037524925425
"Model C","Male","Post Secondary",55,0.054370329326542,0.233174461137025
"Model C","Male","Primary",55,0.0279488685186379,0.167179150968767
"Model C","Male","Secondary",55,0.0140205573517301,0.118408434461951
"Model D","Female","No Formal Education",55,6.35885569730281e-05,0.0079742433479941
"Model D","Female","Post Secondary",55,1.24785417374024e-05,0.00353249794584546
"Model D","Female","Primary",55,6.51290466854313e-05,0.00807025691570171
"Model D","Female","Secondary",55,8.06669167629519e-05,0.00898147631310977
"Model D","Male","No Formal Education",55,9.53069063059043e-06,0.00308718166465636
"Model D","Male","Post Secondary",55,1.44176421953414e-05,0.00379705704399359
"Model D","Male","Primary",55,6.134571394965e-06,0.00247680669309597
"Model D","Male","Secondary",55,2.25376075978115e-05,0.00474737902403121
