"model","year","n_observations","mse","rmse"
"Model A",2014,88,0.000219588808211547,0.0148185292189052
"Model A",2015,88,0.000214556755043217,0.0146477559729542
"Model A",2016,88,0.000194073819437505,0.0139310379885171
"Model A",2017,88,0.000287376231643679,0.0169521748352145
"Model A",2018,88,0.000739721951133786,0.0271978298975081
"Model B",2014,88,146.968137678088,12.1230416017635
"Model B",2015,88,139.316823560525,11.8032547867326
"Model B",2016,88,149.978180776546,12.2465579154531
"Model B",2017,88,148.775180681769,12.1973431812739
"Model B",2018,88,154.473801140498,12.4287489772904
"Model C",2014,88,0.0284050723009558,0.168538044075977
"Model C",2015,88,0.0183296678275709,0.135387103623539
"Model C",2016,88,0.0121803891892131,0.110364800499131
"Model C",2017,88,0.0140576702658318,0.11856504656024
"Model C",2018,88,0.0300078780236897,0.173227821159564
"Model D",2014,88,3.53865219850088e-05,0.00594865715813315
"Model D",2015,88,3.18063894428227e-05,0.0056397153689546
"Model D",2016,88,2.27343701854972e-05,0.0047680572758197
"Model D",2017,88,3.30604766111644e-05,0.00574982405045271
"Model D",2018,88,4.85644755114582e-05,0.00696882167309927
