"model","age_group","n_observations","mse","rmse"
"Model A","Age 01",40,0.000880298043387023,0.0296698170433696
"Model A","Age 02",40,0.000949413424567193,0.0308125530355275
"Model A","Age 03",40,0.00133620927646035,0.0365541964275013
"Model A","Age 04",40,0.000211298338222718,0.0145361046440482
"Model A","Age 05",40,4.54949420342558e-05,0.00674499384983084
"Model A","Age 06",40,7.09304469128744e-05,0.00842202154550049
"Model A","Age 07",40,6.70940065968856e-05,0.00819109312588287
"Model A","Age 08",40,3.68604798743141e-05,0.00607128321480016
"Model A","Age 09",40,4.76254728515462e-06,0.00218232611796556
"Model A","Age 10",40,3.70112081278116e-05,0.00608368376296891
"Model A","Age 11",40,2.32593056483575e-06,0.00152510018190142
"Model B","Age 01",40,184.609839485085,13.587120352933
"Model B","Age 02",40,202.066039673376,14.2149934812991
"Model B","Age 03",40,106.008687757377,10.2960520471381
"Model B","Age 04",40,66.2626645967433,8.14018824086663
"Model B","Age 05",40,223.840501855868,14.9613001392214
"Model B","Age 06",40,226.798814798055,15.0598411279155
"Model B","Age 07",40,51.0200869328969,7.14283465669596
"Model B","Age 08",40,47.4336721081746,6.88721076403028
"Model B","Age 09",40,175.033866587067,13.230036530073
"Model B","Age 10",40,276.151496629507,16.6178066130734
"Model B","Age 11",40,67.701002018188,8.22806186280754
"Model C","Age 01",40,0.0182663343442632,0.135153003460016
"Model C","Age 02",40,0.0130674483971902,0.11431294063749
"Model C","Age 03",40,0.0126604846811186,0.112518819230912
"Model C","Age 04",40,0.0101539083826796,0.1007666035087
"Model C","Age 05",40,0.0124376185735513,0.111524071722437
"Model C","Age 06",40,0.0186963545105096,0.136734613432406
"Model C","Age 07",40,0.0133082872327757,0.115361550062297
"Model C","Age 08",40,0.0336813297262174,0.183524738730824
"Model C","Age 09",40,0.0152605663495571,0.123533664843058
"Model C","Age 10",40,0.0234655162679681,0.153184582344204
"Model C","Age 11",40,0.055559642270144,0.235710929466888
"Model D","Age 01",40,0.000124098420708193,0.0111399470693623
"Model D","Age 02",40,6.85723813863314e-05,0.00828084424357393
"Model D","Age 03",40,7.07973181154227e-05,0.00841411422048825
"Model D","Age 04",40,4.36358556544126e-05,0.00660574414085291
"Model D","Age 05",40,2.60342679101717e-05,0.00510237865217505
"Model D","Age 06",40,8.5088484017565e-06,0.00291699304108812
"Model D","Age 07",40,7.70802486671197e-06,0.0027763329891625
"Model D","Age 08",40,4.3239772056675e-06,0.00207941751595669
"Model D","Age 09",40,5.23177629790784e-06,0.002287307652658
"Model D","Age 10",40,1.73908091939602e-05,0.00417022891385595
"Model D","Age 11",40,1.11323447855703e-06,0.00105509927426619
