"age_group","rmse_model_a","rmse_model_b","rmse_model_c","rmse_model_d"
"Age 01",0.0296698170433696,13.587120352933,0.135153003460016,0.0111399470693623
"Age 02",0.0308125530355275,14.2149934812991,0.11431294063749,0.00828084424357393
"Age 03",0.0365541964275013,10.2960520471381,0.112518819230912,0.00841411422048825
"Age 04",0.0145361046440482,8.14018824086663,0.1007666035087,0.00660574414085291
"Age 05",0.00674499384983084,14.9613001392214,0.111524071722437,0.00510237865217505
"Age 06",0.00842202154550049,15.0598411279155,0.136734613432406,0.00291699304108812
"Age 07",0.00819109312588287,7.14283465669596,0.115361550062297,0.0027763329891625
"Age 08",0.00607128321480016,6.88721076403028,0.183524738730824,0.00207941751595669
"Age 09",0.00218232611796556,13.230036530073,0.123533664843058,0.002287307652658
"Age 10",0.00608368376296891,16.6178066130734,0.153184582344204,0.00417022891385595
"Age 11",0.00152510018190142,8.22806186280754,0.235710929466888,0.00105509927426619
