"model","education","n_observations","mse","rmse"
"Model A","No Formal Education",30,0.0480229813844675,0.219141464320351
"Model A","Post Secondary",30,0.00624525004437084,0.0790268944370892
"Model A","Primary",30,0.0057244973892846,0.0756604083341122
"Model A","Secondary",30,0.0168251529931316,0.129711807454571
"Model B","No Formal Education",30,0.0465933650373549,0.215854962966699
"Model B","Post Secondary",30,0.00393327896656113,0.0627158589717236
"Model B","Primary",30,0.00971189229735259,0.0985489335170736
"Model B","Secondary",30,0.0132902089914847,0.115283168725901
"Model C","No Formal Education",30,0.0021589793247814,0.0464648181399799
"Model C","Post Secondary",30,0.000622888916703904,0.0249577426203554
"Model C","Primary",30,0.00871238345336478,0.0933401492036775
"Model C","Secondary",30,0.000385883331483088,0.0196439133444201
