"model","year","n_observations","mse","rmse"
"Model A",2014,24,0.00750360577226037,0.086623355812739
"Model A",2015,24,0.0133830359777132,0.115685072406569
"Model A",2016,24,0.0180261049966855,0.134261330980612
"Model A",2017,24,0.0337310049152322,0.18366002535999
"Model A",2018,24,0.0233786006021768,0.15290062328904
"Model B",2014,24,0.00540741201758684,0.0735351073813511
"Model B",2015,24,0.00951815477535956,0.0975610310285801
"Model B",2016,24,0.026892858409538,0.163990421700592
"Model B",2017,24,0.0215130400343149,0.146673242393815
"Model B",2018,24,0.0285794663791422,0.1690546254296
"Model C",2014,24,0.0026120775046049,0.051108487598489
"Model C",2015,24,0.0010373076588937,0.0322072609654049
"Model C",2016,24,0.000599209493729612,0.0244787559677695
"Model C",2017,24,0.0027863337925831,0.0527857347451288
"Model C",2018,24,0.00781524033310517,0.0884038479541766
