"model","age_group","n_observations","mse","rmse"
"Model A","15-19",20,5.07371229471888e-07,0.000712299957512204
"Model A","20-24",20,3.12668365564804e-06,0.00176824309857215
"Model A","25-29",20,1.12887448262392e-05,0.00335987273958988
"Model A","30-34",20,6.3534356674052e-05,0.00797084416320204
"Model A","35-39",20,0.00209252125883846,0.0457440844135989
"Model A","40-44",20,0.113055844301658,0.336237779408647
"Model B","15-19",20,6.78969892649374e-07,0.000823996294075025
"Model B","20-24",20,3.61192008311947e-06,0.00190050521786168
"Model B","25-29",20,6.6480440301494e-06,0.00257838011746705
"Model B","30-34",20,4.27978682721592e-05,0.00654200796943563
"Model B","35-39",20,0.0012914317291541,0.0359364957828959
"Model B","40-44",20,0.108947949407698,0.330072642622344
"Model C","15-19",20,3.90681828157792e-08,0.000197656729750796
"Model C","20-24",20,2.55089061825084e-07,0.000505063423566866
"Model C","25-29",20,3.68892256543217e-07,0.000607365010963932
"Model C","30-34",20,4.28125412628822e-06,0.00206911916676837
"Model C","35-39",20,0.000255494621832543,0.015984199130158
"Model C","40-44",20,0.0175597636140398,0.132513258257579
