"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",,,,"No Formal Education",30,0.0480229813844675,0.219141464320351,"model_education",0.219141464320351,0,TRUE
"Model A",,,,"Post Secondary",30,0.00624525004437084,0.0790268944370892,"model_education",0.0790268944370892,0,TRUE
"Model A",,,,"Primary",30,0.0057244973892846,0.0756604083341122,"model_education",0.0756604083341122,0,TRUE
"Model A",,,,"Secondary",30,0.0168251529931316,0.129711807454571,"model_education",0.129711807454571,0,TRUE
"Model B",,,,"No Formal Education",30,0.0465933650373549,0.215854962966699,"model_education",0.215854962966699,0,TRUE
"Model B",,,,"Post Secondary",30,0.00393327896656113,0.0627158589717236,"model_education",0.0627158589717236,0,TRUE
"Model B",,,,"Primary",30,0.00971189229735259,0.0985489335170736,"model_education",0.0985489335170736,0,TRUE
"Model B",,,,"Secondary",30,0.0132902089914847,0.115283168725901,"model_education",0.115283168725901,0,TRUE
"Model C",,,,"No Formal Education",30,0.0021589793247814,0.0464648181399799,"model_education",0.0464648181399799,0,TRUE
"Model C",,,,"Post Secondary",30,0.000622888916703904,0.0249577426203554,"model_education",0.0249577426203554,0,TRUE
"Model C",,,,"Primary",30,0.00871238345336478,0.0933401492036775,"model_education",0.0933401492036775,0,TRUE
"Model C",,,,"Secondary",30,0.000385883331483088,0.0196439133444201,"model_education",0.0196439133444201,0,TRUE
"Model A",2014,,,,24,0.00750360577226037,0.086623355812739,"model_year",0.086623355812739,0,TRUE
"Model A",2015,,,,24,0.0133830359777132,0.115685072406569,"model_year",0.115685072406569,0,TRUE
"Model A",2016,,,,24,0.0180261049966855,0.134261330980612,"model_year",0.134261330980612,0,TRUE
"Model A",2017,,,,24,0.0337310049152322,0.18366002535999,"model_year",0.18366002535999,0,TRUE
"Model A",2018,,,,24,0.0233786006021768,0.15290062328904,"model_year",0.15290062328904,0,TRUE
"Model B",2014,,,,24,0.00540741201758684,0.0735351073813511,"model_year",0.0735351073813511,0,TRUE
"Model B",2015,,,,24,0.00951815477535956,0.0975610310285801,"model_year",0.0975610310285801,0,TRUE
"Model B",2016,,,,24,0.026892858409538,0.163990421700592,"model_year",0.163990421700592,0,TRUE
"Model B",2017,,,,24,0.0215130400343149,0.146673242393815,"model_year",0.146673242393815,0,TRUE
"Model B",2018,,,,24,0.0285794663791422,0.1690546254296,"model_year",0.1690546254296,0,TRUE
"Model C",2014,,,,24,0.0026120775046049,0.051108487598489,"model_year",0.051108487598489,0,TRUE
"Model C",2015,,,,24,0.0010373076588937,0.0322072609654049,"model_year",0.0322072609654049,0,TRUE
"Model C",2016,,,,24,0.000599209493729612,0.0244787559677695,"model_year",0.0244787559677695,0,TRUE
"Model C",2017,,,,24,0.0027863337925831,0.0527857347451288,"model_year",0.0527857347451288,0,TRUE
"Model C",2018,,,,24,0.00781524033310517,0.0884038479541766,"model_year",0.0884038479541766,0,TRUE
"Model A",,"15-19",,,20,5.07371229471888e-07,0.000712299957512204,"model_age_group",0.000712299957512204,0,TRUE
"Model A",,"20-24",,,20,3.12668365564804e-06,0.00176824309857215,"model_age_group",0.00176824309857215,0,TRUE
"Model A",,"25-29",,,20,1.12887448262392e-05,0.00335987273958988,"model_age_group",0.00335987273958988,0,TRUE
"Model A",,"30-34",,,20,6.3534356674052e-05,0.00797084416320204,"model_age_group",0.00797084416320204,0,TRUE
"Model A",,"35-39",,,20,0.00209252125883846,0.0457440844135989,"model_age_group",0.0457440844135989,0,TRUE
