"model","age_group","n_observations","mse","rmse"
"Model D","Age 01",40,0.000124098420708193,0.0111399470693623
"Model D","Age 02",40,6.85723813863314e-05,0.00828084424357393
"Model D","Age 03",40,7.07973181154227e-05,0.00841411422048825
"Model D","Age 04",40,4.36358556544126e-05,0.00660574414085291
"Model D","Age 05",40,2.60342679101717e-05,0.00510237865217505
"Model D","Age 06",40,8.5088484017565e-06,0.00291699304108812
"Model D","Age 07",40,7.70802486671197e-06,0.0027763329891625
"Model D","Age 08",40,4.3239772056675e-06,0.00207941751595669
"Model A","Age 09",40,4.76254728515462e-06,0.00218232611796556
"Model D","Age 10",40,1.73908091939602e-05,0.00417022891385595
"Model D","Age 11",40,1.11323447855703e-06,0.00105509927426619
