"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",,,"Female","No Formal Education",55,0.00173001610595115,0.0415934622981924,"model_sex_education",0.0415934622981924,0,TRUE
"Model A",,,"Female","Post Secondary",55,2.96036620073962e-05,0.00544092473825876,"model_sex_education",0.00544092473825876,0,TRUE
"Model A",,,"Female","Primary",55,0.00033742672773058,0.0183691787440424,"model_sex_education",0.0183691787440424,0,TRUE
"Model A",,,"Female","Secondary",55,0.000116361986173797,0.0107871213107945,"model_sex_education",0.0107871213107945,0,TRUE
"Model A",,,"Male","No Formal Education",55,0.000350803977810988,0.0187297618193876,"model_sex_education",0.0187297618193876,0,TRUE
"Model A",,,"Male","Post Secondary",55,6.02079578659709e-06,0.00245373099311988,"model_sex_education",0.00245373099311988,0,TRUE
"Model A",,,"Male","Primary",55,2.15309423445058e-05,0.00464014464693783,"model_sex_education",0.00464014464693783,0,TRUE
"Model A",,,"Male","Secondary",55,5.674390694656e-05,0.00753285516564337,"model_sex_education",0.00753285516564337,0,TRUE
"Model B",,,"Female","No Formal Education",55,108.011083052783,10.3928380653594,"model_sex_education",10.3928380653594,0,TRUE
"Model B",,,"Female","Post Secondary",55,139.962111240539,11.8305583655438,"model_sex_education",11.8305583655438,0,TRUE
"Model B",,,"Female","Primary",55,94.8063520191446,9.73685534549757,"model_sex_education",9.73685534549757,0,TRUE
"Model B",,,"Female","Secondary",55,352.96806778924,18.7874444187931,"model_sex_education",18.7874444187931,0,TRUE
"Model B",,,"Male","No Formal Education",55,82.8326259234386,9.10124309770037,"model_sex_education",9.10124309770037,0,TRUE
"Model B",,,"Male","Post Secondary",55,184.938915629621,13.5992248172321,"model_sex_education",13.5992248172321,0,TRUE
"Model B",,,"Male","Primary",55,122.562898821605,11.0708129250568,"model_sex_education",11.0708129250568,0,TRUE
"Model B",,,"Male","Secondary",55,97.1373436635112,9.85582790350518,"model_sex_education",9.85582790350518,0,TRUE
"Model C",,,"Female","No Formal Education",55,0.000132581529610955,0.0115144053086104,"model_sex_education",0.0115144053086104,0,TRUE
"Model C",,,"Female","Post Secondary",55,1.49316383830954e-05,0.00386414782107199,"model_sex_education",0.00386414782107199,0,TRUE
"Model C",,,"Female","Primary",55,0.000469109633900027,0.0216589388913683,"model_sex_education",0.0216589388913683,0,TRUE
"Model C",,,"Female","Secondary",55,1.74357486012289e-05,0.00417561355985308,"model_sex_education",0.00417561355985308,0,TRUE
"Model C",,,"Male","No Formal Education",55,0.0677952704242127,0.26037524925425,"model_sex_education",0.26037524925425,0,TRUE
"Model C",,,"Male","Post Secondary",55,0.054370329326542,0.233174461137025,"model_sex_education",0.233174461137025,0,TRUE
"Model C",,,"Male","Primary",55,0.0279488685186379,0.167179150968767,"model_sex_education",0.167179150968767,0,TRUE
"Model C",,,"Male","Secondary",55,0.0140205573517301,0.118408434461951,"model_sex_education",0.118408434461951,0,TRUE
