parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
a1[1],3.252679925887712,4.720858433283607e-8,1.4928665160390245e-8,9.326383309663111,10.0,0.9745757517814414,0.04548079756202081
a1[2],1.1911490813078442,3.426336537043602e-8,1.0835027487311668e-8,10.0,10.0,0.933466805651443,0.048765739142308175
a1[3],0.4801357827320161,1.1465842447042736e-7,5.6879845340747045e-8,4.539568019117799,10.0,1.582038566169181,0.022137538983906323
a2[1],-2.6350707699053957,6.448193303703378e-8,2.8466086423025114e-8,6.812262147030052,10.0,2.081996174744455,0.033220499883108774
a2[2],0.21709196750006288,2.67490121610279e-8,8.458780358839083e-9,10.0,10.0,0.9864683960202767,0.048765739142308175
a2[3],-18.35990772382697,1.4437063023796448e-7,6.753690454552587e-8,4.112260002342172,10.0,2.081996174744455,0.020053739855956595
a3[1],3.035013965345358,6.547287227988153e-8,2.981918194276408e-8,4.337656686769139,10.0,1.7894277714570717,0.021152903447587263
a3[2],4.660262607711742,1.2937867249426015e-7,5.6054164611911477e-8,6.736159725407727,10.0,1.7894277714570719,0.032849380799015546
a3[3],7.541139595851339,4.703772625748643e-8,1.8674256008671418e-8,8.328859012198865,10.0,1.0017958946655545,0.040616296594195245
a4[1],-16.57182622217681,5.346411569662446e-8,1.690683786880927e-8,10.0,10.0,2.1504820019630966,0.048765739142308175
a4[2],22.98208938074037,1.0929835269983742e-7,5.8481498254428295e-8,3.8565498217877496,10.0,2.081996174744455,0.01880675025986165
a4[3],13.542306411358656,3.0457614430097426e-8,9.631543369431904e-9,10.0,10.0,0.932323277053786,0.048765739142308175
a5[1],15.588068188962009,1.027045645591656e-7,3.7489280332178935e-8,5.080382233133262,10.0,1.2658090668974296,0.024774859472419374
a5[2],1.7715627885689806,4.5544968096042695e-8,1.4402583514319737e-8,10.0,10.0,1.012107815981897,0.048765739142308175
a5[3],3.9266577129236575,5.882053863378628e-8,3.1403398662968864e-8,3.856449491327432,10.0,2.081996174744455,0.018806260990956062
a6[1],-8.286877879688628,9.525390071372643e-8,4.668551388701288e-8,5.466943549762733,10.0,1.7894277714570719,0.02665995430534537
a6[2],5.9545247099785445,1.3531802724649362e-7,6.814507434970263e-8,4.04210349089963,10.0,2.081996174744455,0.019711616442342463
a6[3],8.678035018422108,5.826644053991084e-8,2.566334610197204e-8,4.8299407286908185,10.0,1.5820385661691807,0.02355356296481463
a7[1],1.1796269180018855,9.42003470916805e-8,3.937559449034609e-8,5.806623309367744,10.0,1.2658090668974296,0.028316427760227362
a7[2],-1.8454275154271709,3.7983276791217055e-8,2.0057541802762538e-8,3.959335644031002,10.0,2.081996174744455,0.01930799291936586
a7[3],17.480658392916684,1.0345871309880464e-7,5.1050434524003833e-8,4.3046180009666415,10.0,1.7894277714570719,0.020991787854242334
a8[1],-8.332546893521197,7.150784296596806e-8,2.2612765433810938e-8,10.0,10.0,1.4155961675180162,0.048765739142308175
a8[2],-7.19259262510987,5.395624342862913e-8,2.5077183701477617e-8,5.153258037253786,10.0,1.4295980382470366,0.025130243717772116
a8[3],-1.6988253359062664,4.173811482467169e-8,1.5998305485102396e-8,8.574720399656048,10.0,1.1155243505733183,0.041815257822785536
b1[1],0.6215491723585893,1.9751213462066605e-8,6.245882109231018e-9,6.971466720597398,10.0,1.1211399812402745,0.03399687275359354
b1[2],0.2820506117524938,1.3621101974234212e-8,4.307370647999625e-9,7.265605359694261,10.0,1.0499999724694031,0.03543126156818065
b1[3],0.09640021588891688,7.913934790869699e-9,2.7567654579554025e-9,8.469800162890753,10.0,0.9847389589610394,0.04130360653310097
b2[1],0.6386377729977851,1.7131745967621897e-8,6.2837955992315835e-9,6.586044040737486,10.0,1.0572027541925106,0.03211733056703575
b2[2],0.23072037072445686,8.02521390956164e-9,2.7710893737252994e-9,10.0,10.0,1.0093020146064406,0.048765739142308175
b2[3],0.13064185627775804,1.675581757008018e-8,6.748318399561589e-9,6.927266035804323,10.0,1.8278746118334257,0.03378132484714049
b3[1],0.280945438188788,1.2347279234325776e-8,3.904552528656933e-9,10.0,10.0,1.2658090668974296,0.048765739142308175
b3[2],0.5155853600778987,4.763044144034133e-8,2.418424040832671e-8,3.881933819105048,10.0,2.081996174744455,0.01893053719901809
b3[3],0.20346920173331337,4.3858466014826284e-8,2.2601013471160498e-8,4.167704435675656,10.0,2.081996174744455,0.020324118733239974
b4[1],0.09190947204676278,7.369048968066058e-9,2.330297892840214e-9,10.0,10.0,1.7894277714570714,0.048765739142308175
b4[2],0.642978505442277,1.3828412655273784e-8,4.372928041536198e-9,10.0,10.0,0.9207151718732857,0.048765739142308175
b4[3],0.2651120225109603,1.0943750582189182e-8,3.4607177984511537e-9,6.661422615511283,10.0,1.1039721334025385,0.032484919758469545
b5[1],0.578077812934892,1.0903218007916226e-8,5.687544350647037e-9,4.073822128809031,10.0,2.081996174744455,0.01986629472456638
b5[2],0.23623127486802317,1.3942465416874979e-8,7.107081367641534e-9,3.938510576872007,10.0,1.7894277714570714,0.0192064379400962
b5[3],0.18569091219708475,4.155603266020286e-9,1.6814429674590523e-9,5.6972603908936845,10.0,1.181837693718452,0.027783111404812613
b6[1],0.4733772370261189,1.8753760043470154e-8,9.388194924544237e-9,4.443694304012135,10.0,1.5820385661691807,0.02167000372576165
b6[2],0.4496646168308681,1.2567302997607084e-8,3.974130151789999e-9,10.0,10.0,0.9213965477778322,0.048765739142308175
b6[3],0.07695814614301305,1.7871836707515054e-8,9.486373604996809e-9,3.80614468790116,10.0,2.081996174744455,0.018560945898806993
b7[1],0.6749521298543897,1.4708587358121975e-8,6.0376364821975975e-9,5.610108801187436,10.0,1.2017827751252472,0.027358110235867376
b7[2],0.22333986135745693,9.705447747082663e-9,3.069132059253103e-9,10.0,10.0,0.9680821748634557,0.048765739142308175
b7[3],0.10170800878815336,8.366258621470055e-9,3.7802084206684344e-9,7.6284318305593,10.0,2.1504820019630966,0.03720061167139353
b8[1],0.14191283958877912,1.9304297797345906e-8,9.760360949912477e-9,3.846783817532222,10.0,2.081996174744455,0.018759125618262876
b8[2],0.7524606906485428,1.1292935975986667e-8,5.2628522627249865e-9,4.681409922302985,10.0,1.4155961675180162,0.022829241508924052
b8[3],0.10562646976267795,9.650701002125704e-9,5.008770680426201e-9,3.896438057286776,10.0,2.081996174744455,0.019001268188580896
sigma1,0.7455547181826748,7.241635948031667e-8,2.2900063581532803e-8,9.863247373839698,10.0,0.9385474350005887,0.04809885485287229
sigma2,0.1651333116417291,1.1991638940604767e-8,4.8209682420556974e-9,6.118977436533104,10.0,1.2128935480794145,0.029839645748764295
sigma3,0.7694922458189404,6.172568727981394e-8,3.113698743220311e-8,4.304806210249662,10.0,1.7894277714570714,0.02099270567072233
sigma4,2.3529278920286023,9.7496281109718e-8,3.0831031170275764e-8,10.0,10.0,0.932323277053786,0.048765739142308175
sigma5,0.49294165966641623,3.645051321684836e-8,1.1526664364731181e-8,7.9736678446082685,10.0,1.315435103634204,0.03888418061175775
sigma6,1.5719287502072732,1.1474282383594274e-7,4.445542214480405e-8,10.0,10.0,1.4155961675180162,0.048765739142308175
sigma7,0.44529903632153695,3.008494535084093e-8,1.0996115797384687e-8,8.576062372964872,10.0,1.1071227100893337,0.04182180205481694
sigma8,1.5810579724935327,2.888086493003323e-7,1.434082890635525e-7,5.056188877961942,10.0,1.5820385661691807,0.024656878787693192
c1,0.991559673936583,9.141161792865161e-8,4.011304354158512e-8,7.4220484460973,10.0,1.6048151536090995,0.036194167842395465
c2,-4.718220946943827,1.371617213508138e-7,7.298966297275228e-8,3.9845228316353194,10.0,2.081996174744455,0.01943082010140991
c3,-2.4796268554981404,1.6255522995323322e-7,8.274881825956843e-8,3.998410860488064,10.0,2.081996174744455,0.019498546100633292
c4,-3.3227113576663982,5.7856359105990196e-8,2.9097927794767603e-8,3.8096684066345334,10.0,2.081996174744455,0.018578129573663248
c5,-8.584757980074103,5.6197672467307335e-8,2.194921748431326e-8,6.460298227142642,10.0,1.138939905672073,0.031504121812635406
c6,0.5936587237874467,7.784276754536513e-8,3.128438434939093e-8,7.976595584183638,10.0,1.0499999724694034,0.03889845795019866
c7,1.932785080839461,6.470384489734133e-8,2.5937347618544437e-8,5.931278711499849,10.0,1.0540833541670247,0.02892431904253274
c8,-5.76224625663945,8.221339208242241e-8,3.774668401349336e-8,6.985948321747015,10.0,1.8278746118334257,0.034067493351996055
k1[1],1.7428527953688946,7.365669629841865e-8,3.404406442321051e-8,4.229020949551372,10.0,1.7894277714570714,0.020623133245317865
k1[2],1.7877033496186598,7.98822710364177e-8,2.790535376298138e-8,10.0,10.0,1.2128935480794145,0.048765739142308175
k1[3],4.743207200898484,3.875991786359193e-8,1.2256962236999805e-8,10.0,10.0,0.913954853090546,0.048765739142308175
k2[1],-4.8364451927974645,4.9672062986703674e-8,1.715369093192351e-8,7.7053867011698145,10.0,1.2056182697035742,0.03757588778598577
k2[2],-9.484744747801654,1.6672829173689723e-7,8.34346472047839e-8,4.073822128809031,10.0,2.081996174744455,0.01986629472456638
k2[3],-13.930787896270155,5.230330759536867e-8,2.0274479859281435e-8,6.3975506661246335,10.0,2.1504820019630966,0.03119812869339338
k3[1],-2.0987425227458942,6.044865826159894e-8,3.106782347427108e-8,3.835906377201473,10.0,2.081996174744455,0.018706080976492345
k3[2],-3.9994217115169484,8.099469066028609e-8,3.27334929669036e-8,7.087869830582491,10.0,1.2658090668974296,0.034564521123282184
k3[3],-6.934640972656983,8.93907999851144e-8,3.7440524596407616e-8,9.59552991586423,10.0,1.2658090668974296,0.046793310880924935
k4[1],-5.412723109229128,8.109156532871438e-8,3.074613872893251e-8,10.0,10.0,1.1039721334025385,0.048765739142308175
k4[2],-10.656928073707324,5.2494329953371676e-8,2.3976273842399634e-8,4.506417735633711,10.0,1.5820385661691807,0.021975879176218464
k4[3],-14.774258714911403,8.718962935812531e-8,4.24665179801979e-8,4.430735066953329,10.0,1.5820385661691807,0.021606807048372343
k5[1],-8.257417943202189,6.489840590635145e-8,2.9257910163135003e-8,4.849235424570681,10.0,1.3012682314241317,0.023647654975425387
k5[2],-16.15392611163413,5.805038732212907e-8,1.8357144299289106e-8,10.0,10.0,0.9007880949704913,0.048765739142308175
k5[3],-24.82077991510967,1.9342803848054512e-7,9.408152295093153e-8,4.842491723749648,10.0,1.5820385661691811,0.02361476881991616
k6[1],1.379918472018224,8.214770148593142e-8,3.937940118688424e-8,6.594768952801817,10.0,2.1504820019630966,0.03215987824561263
k6[2],1.3133350796492278,4.4132063311571135e-8,2.082179268782291e-8,4.928285560539038,10.0,1.4155961675180162,0.024033148806405075
k6[3],5.118493326118805,1.350044071921996e-7,7.056001368698806e-8,3.939638745877741,10.0,2.081996174744455,0.019211939539640406
k7[1],2.190688978294617,5.8108893394666085e-8,2.2756272142764395e-8,6.058967169866575,10.0,1.2658090668974296,0.029547001247752263
k7[2],4.352540665262472,4.984140224362648e-8,1.5761235286648615e-8,10.0,10.0,0.9745757517814414,0.048765739142308175
k7[3],6.316849842300426,1.6119779266630454e-7,8.037379670867745e-8,3.94284279253546,10.0,1.7894277714570714,0.019227564309991417
k8[1],-7.783489461056749,9.509508004635964e-8,4.17647139712047e-8,7.208668091753579,10.0,1.1211399812402745,0.03515360277259355
k8[2],-14.959323147905957,1.1056868652073235e-7,5.893970677214391e-8,3.817595166908671,10.0,2.081996174744455,0.01861678500604047
k8[3],-19.186260514068852,6.969171130621298e-8,2.2038454176254137e-8,10.0,10.0,1.0540833541670247,0.048765739142308175
Sigma1,6.418377589442462,4.863481012400203e-7,2.1252332396056605e-7,6.629609622496498,10.0,1.3089632018845323,0.03232978134660004
Sigma2,5.266799037332432,1.0004610065973672e-6,5.023833718729779e-7,3.817595166908671,10.0,2.081996174744455,0.01861678500604047
Sigma3,1.2807637928264555,4.302933402582113e-8,1.5717760429496462e-8,6.593963940550492,10.0,1.2658090668974296,0.03215595254386718
Sigma4,2.1659330477922345,1.936978855144958e-7,7.438005574689226e-8,5.037999425342617,10.0,1.4155961675180162,0.02456817657753566
Sigma5,0.7814784018005433,1.4678676773445592e-7,7.373881738231816e-8,3.9366595011959413,10.0,2.081996174744455,0.01919741103274103
Sigma6,0.32126929940300986,4.8233800646898546e-8,2.436137365175675e-8,3.817595166908671,10.0,2.081996174744455,0.01861678500604047
Sigma7,3.716049627529273,1.9313387630267956e-7,9.843836446748488e-8,4.006412410836,10.0,2.081996174744455,0.019537566252333438
Sigma8,0.318020200951946,2.412352391492736e-8,7.776159134304838e-9,9.771868351627424,10.0,1.1039721334025385,0.047653238296843994
logmu1[1,1],-1.5675722947410404,4.025489236533191e-8,1.2729714683937175e-8,10.0,10.0,0.9003438895447581,0.048765739142308175
logmu1[1,2],-2.799930919284558,1.0028068051640167e-7,3.7240494132893414e-8,5.106931655840788,10.0,1.4295980382470366,0.024904329694632785
logmu1[1,3],12.044665711034394,0.00018493102950112726,9.384196314677007e-5,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu1[2,1],2.007705248839007,1.3248117107718894e-7,7.04158954247046e-8,3.830473531155399,10.0,2.081996174744455,0.018679587301184027
logmu1[2,2],-0.9118144807472097,3.3159898798423885e-8,1.7278326744951573e-8,4.1239374749886295,10.0,2.081996174744455,0.020110685914448458
logmu1[2,3],3.930753386809466,1.6081850760255602e-7,8.194844201976385e-8,4.132439341638941,10.0,1.7894277714570719,0.020152145895577633
logmu1[3,1],-2.05275035127015,1.3300934251904304e-7,6.714341163870865e-8,3.998507147782232,10.0,2.081996174744455,0.0194990156527403
logmu1[3,2],0.45427490605315163,6.944320510127499e-8,2.2345139759313895e-8,10.0,10.0,0.9563891133615523,0.048765739142308175
logmu1[3,3],1.2060444798834438,2.1793270518087672e-7,1.0309769074135288e-7,6.869960934499159,10.0,2.1504820019630966,0.03350187228496337
logmu2[1,1],3.124038157179076,1.1330123106787474e-7,4.773692018975367e-8,8.111735822705429,10.0,2.081996174744455,0.039557479312136955
logmu2[1,2],1.2982876181875587,1.247250238574178e-7,5.525948757700427e-8,4.530791144392399,10.0,1.5820385661691807,0.022094737905571968
logmu2[1,3],-9.277779602204228,7.166676203780638e-8,2.7998465788955637e-8,7.443420655598278,10.0,1.0728242410071085,0.036298391001737415
logmu2[2,1],-4.46217572755277,1.0490978350290737e-7,4.676174586216283e-8,4.564684641666233,10.0,1.7894277714570719,0.022260022050239598
logmu2[2,2],3.2298111780205367,1.0614695682227729e-7,4.8281976732332173e-8,3.9195798612795003,10.0,2.081996174744455,0.01911412090626006
logmu2[2,3],1.7460203302194919,1.1603237690832602e-7,5.845464713856658e-8,4.015733211215999,10.0,2.081996174744455,0.0195830198243263
logmu2[3,1],-12.396543928457032,9.774304680016287e-8,4.7419937988932427e-8,4.4960820870209375,10.0,1.5820385661691807,0.021925476621806758
logmu2[3,2],-18.09465090055106,7.72175408535418e-8,2.4418330441429437e-8,10.0,10.0,1.0499999724694031,0.048765739142308175
logmu2[3,3],-16.32815373700722,1.0488796142878926e-7,5.1266529505255316e-8,4.202953603803371,10.0,1.7894277714570719,0.020496013907029924
logmu3[1,1],5.333144749640093,1.1437084798081896e-6,5.755531140051852e-7,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu3[1,2],1.8610329661607365,4.2530675551833155e-8,2.1182522424072834e-8,4.078262621486831,10.0,1.7894277714570714,0.019887949115325272
logmu3[1,3],2.484836436288595,2.1450714076446807e-7,1.0726489794184046e-7,4.02681058544326,10.0,1.7894277714570719,0.01963703945852113
logmu3[2,1],3.298633302485179,1.6608338089775722e-7,8.59105118988269e-8,3.826194002853263,10.0,2.081996174744455,0.018658717865100618
logmu3[2,2],6.537899068809738,3.485916502365681e-6,1.7707643503829357e-6,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu3[2,3],4.562370699271606,6.723421516337825e-7,3.42870345874141e-7,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu3[3,1],7.212288803285148,5.065049766094996e-6,2.5741521807648894e-6,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu3[3,2],10.218257756710674,0.00012464866675097566,6.32585769253278e-5,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu3[3,3],7.850559145770371,1.427281323031954e-5,7.245282639923789e-6,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu4[1,1],-16.990237677891496,8.798952529615923e-8,3.914788539512018e-8,6.614194078462019,10.0,1.3012682314241317,0.03225460630668782
logmu4[1,2],-13.389991995816175,5.391004987042716e-8,2.7168335147844846e-8,3.9590963778113015,10.0,2.081996174744455,0.01930682611996031
logmu4[1,3],-14.451576617904731,8.147069017592947e-8,3.770188075125552e-8,5.310510318443678,10.0,1.4155961675180162,0.025897096090176035
logmu4[2,1],20.0417017285641,0.9379887417022138,0.47503056877121547,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu4[2,2],20.016667873296093,0.9343472240506537,0.47361000183528795,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
logmu4[2,3],16.864995684088722,0.03719830670300645,0.018922757647384925,3.744190298994482,10.0,2.081996174744455,0.018258820741992577
