parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-5.70267817904626,0.02599737092738037,0.0007776801578063189,1119.384734939358,761.1211915389324,0.9993252920381991,1.6712148720435083
alpha(30-34),-5.798529919373413,0.02518643224024977,0.0007970009728768481,1008.4925970628433,766.6261592475266,1.0001896963556163,1.5056555391105195
alpha(35-39),-5.9039446524758805,0.025956621282082624,0.0007410152278328151,1235.8697437220296,778.7635913235316,1.002248846111112,1.8451242286493634
alpha(40-44),-5.818556012332154,0.025341505342731854,0.0007312665043416163,1223.720924694888,641.334679151472,1.0027104466060552,1.826986329853536
alpha(45-49),-5.663012790047363,0.023841538710741825,0.0008912473046018955,724.4095433890125,660.0410961536551,1.0002739532973899,1.0815262747240793
alpha(50-54),-5.393085620654283,0.024512502661128796,0.0007683519876919538,1019.8966056744761,632.1472562785164,0.9993071292703787,1.5226814536131907
alpha(55-59),-5.008974554887312,0.02435654215054505,0.0007343824013357978,1094.4550343394883,724.667061860659,0.9992887273895068,1.633995420055581
alpha(60-64),-4.588519815157983,0.024246363851318897,0.0006045518284068596,1604.693757071446,727.6692377921323,1.011031784273568,2.395769736880017
alpha(65-69),-4.156358826695791,0.025123179075481946,0.0008653610617416415,847.3113082215493,524.7858735585708,1.0005217013948022,1.2650156959905365
alpha(70-74),-3.5768279909192433,0.02342849866231828,0.0006858519407066714,1166.226159145163,579.2579399581638,0.9991669530577355,1.7411480079145105
alpha(75+),-2.739440284567615,0.02439435385317082,0.0006974178770975485,1217.7116453095766,770.0861628965417,1.003691682110773,1.8180146181930756
beta(25-29),0.11055708442315433,0.006202201573658542,0.0002143437724370436,847.9428257744753,668.4290560546003,1.0004553121660746,1.265958536725687
beta(30-34),0.09355056806562925,0.006077192047525035,0.00019050853843127736,1011.6598110206659,810.7459092486638,0.9993508166045044,1.5103841144645005
beta(35-39),0.09922093572969398,0.006051771070363145,0.00017168507619147623,1274.0451804359059,667.089091464359,0.9997957013373063,1.9021192506392266
beta(40-44),0.0975431751605996,0.006548741006208129,0.00023432874070335858,799.0907318635457,546.8210130781639,1.0065590373474713,1.193023518651821
beta(45-49),0.1100999625558944,0.00578012356445733,0.00017244597400439414,1117.68688405075,788.7918716507284,1.0022498792385146,1.6686800209177175
beta(50-54),0.08432047769156903,0.006065141193384267,0.00018442500502437474,1103.8479194535337,647.530620940279,0.9992418052658503,1.6480187748539998
beta(55-59),0.07706234400334637,0.006284834901316334,0.0001912335005531243,1096.025008587363,565.5717207697093,1.0000733579608703,1.6363393543883245
beta(60-64),0.08997433304773358,0.0057908419795735895,0.0001736899000330733,1116.5125615445304,610.6781255573374,0.9991441238546444,1.666926785255561
beta(65-69),0.08937796753319366,0.006294237600458717,0.00018153208532015777,1208.7057852136388,705.7564896695008,0.9997578414195817,1.8045690825715006
beta(70-74),0.08395948026746343,0.006271896202251116,0.00022519436501499237,769.3353711277258,445.07707034798676,1.0065133289568224,1.148599470482703
beta(75+),0.06433367152172244,0.006031194578223112,0.00018563629570601513,1046.2967753466407,618.9613733557064,0.9995393480498035,1.5620962810656875
sigma,0.689404369969953,0.10950758431363393,0.004664345276238306,533.5054895765077,418.7547406297927,1.0047877784919523,0.7965110481387926
c,-0.41505517719908663,0.14907774704809074,0.008086925701616149,340.0486395942532,520.7714373167236,1.000398019102982,0.5076845573911332
kappa(1998),-0.48614666952507546,0.7227524938597155,0.087859356231118,67.41222506151315,127.10299728884264,1.013334745373753,0.10064485387720443
kappa(1999),-0.6815797645292567,0.8553062041975017,0.1052241450558705,65.93046158457929,132.49020129334886,1.0089001215919695,0.09843261613426528
kappa(2000),-1.0803168053965846,0.8532473711564096,0.10507624538674158,66.00324753495671,173.14304349929026,1.0124984118667153,0.09854128383264439
kappa(2001),-1.4994693867545854,0.8473318592092071,0.10515988432484895,64.77853402696248,160.01160765483957,1.010443965880589,0.09671281559945608
kappa(2002),-2.03811559859127,0.869367540420146,0.10576098428404102,67.64934868639726,133.99870478702468,1.0143824750553043,0.1009988738276736
kappa(2003),-2.7672115037050444,0.8616902512753758,0.10449018126511243,68.2612168047616,147.66875619098775,1.0174238934660964,0.1019123784228521
kappa(2004),-3.289375823219765,0.8543812628111735,0.10500804207019408,66.29726480493183,144.03372682656902,1.0183624265107054,0.09898024464645848
kappa(2005),-3.7522570081567346,0.8648027816111767,0.10537740996809233,67.0692423560227,156.9704797824464,1.0134312449230072,0.10013278882898807
kappa(2006),-3.776526502169085,0.8467210583633139,0.10334335647583943,67.30063154653723,133.42721318072697,1.012856882904026,0.10047824740488955
kappa(2007),-4.342095596343365,0.857134237487916,0.10185294733272171,71.10674803602731,178.6666020821913,1.0157452539191731,0.10616068909220669
kappa(2008),-6.0234335858989505,0.8492921144433515,0.1031524434603827,67.63772243757134,162.07484420897063,1.0069661050773089,0.10098151611379964
kappa(2009),-6.811968641513127,0.8532609969100264,0.10293418675900401,69.00007710776819,125.21396802081277,1.0154140906756597,0.10301547933910149
kappa(2010),-7.862229689813579,0.8514549653424612,0.10481382622356496,66.09492691901602,123.5848421086,1.0202374868628419,0.09867815897960448
kappa(2011),-9.228641603136959,0.8569731935220195,0.10474348204077275,66.79240791910183,153.18751595302575,1.0254131952115415,0.09971948157757107
kappa(2012),-10.248672001662717,0.847068283401159,0.10386393695705155,66.666342919514,158.73538134740025,1.0165892825752543,0.09953126952180566
kappa(2013),-10.947529263214623,0.848457582229942,0.10578590767490662,64.226012593718,160.89270789724887,1.0191636813970217,0.09588791419823142
kappa(2014),-11.331824842141073,0.8478794731235828,0.10295812995945404,67.5996999878335,132.2772800438425,1.0167248094975156,0.10092474949773815
kappa(2015),-11.082359485284256,0.8487194640088419,0.10215188197598431,68.67403770396417,162.95206009063756,1.0250099081422557,0.10252871023862864
kappa(2016),-10.640884617471025,0.866475169403856,0.10592626533451509,66.60730210075997,160.34613938355912,1.0167588978877407,0.09944312297908485
kappa(2017),-10.065725836766767,0.8680423008683794,0.10157036346780704,72.96390499429823,163.45346616264519,1.0128976425813967,0.10893338040333983
kappa(2018),-8.916156803679652,0.8933529496699025,0.10412409147971263,73.72466462681615,181.27839171248212,1.0109382496276023,0.11006917649938287
Sigma,0.11097174180205169,0.005724711161902613,0.00021772384209140164,718.8496139619157,548.6535564486853,1.0002236979446815,1.073225431898507
"logmu[25-29, 1997]",-5.487689032351182,0.02032475194442203,0.0006128872321244956,1116.5218356580538,547.3283177593476,1.0019916496995103,1.6669406312871902
"logmu[25-29, 1998]",-5.387563141706145,0.018723896578591286,0.0005523364503478134,1153.079854507715,819.5145588338762,1.0020800098112794,1.721520886749858
"logmu[25-29, 1999]",-5.236221977972021,0.01786848652421815,0.0004442207781609886,1613.84418772696,714.6087875739918,0.9996808594178163,2.4094311129197092
"logmu[25-29, 2000]",-5.185686480348664,0.019474117902935253,0.0005742018378222104,1164.8083773090336,588.3693785676791,1.009259880050277,1.7390312932444818
"logmu[25-29, 2001]",-5.107856683369039,0.018413898566496226,0.0005507387382916789,1117.1054206999706,872.868162423968,0.9998380364459857,1.6678119099197386
"logmu[25-29, 2002]",-5.215981911664744,0.020454351457435228,0.0005667119610063536,1318.9726180056934,795.6459131753816,1.004536592945375,1.9691948498374798
